Exp,Part,Stim,time,x,y,x_pro,y_pro
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.0223715,960.0,540.0,0.5,0.5
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.0459378,960.0,540.0,0.5,0.5
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.145527,959.864911718129,540.3653148078884,0.4999296415198588,0.5003382544517485
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.170049,959.864911718129,540.3653148078884,0.4999296415198588,0.5003382544517485
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.1970716,959.864911718129,540.3653148078884,0.4999296415198588,0.5003382544517485
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.223595,959.864911718129,540.3653148078884,0.4999296415198588,0.5003382544517485
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.2726421,974.2083454094809,526.1068829001429,0.5074001799007714,0.4871360026853175
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.2976582,974.2083454094809,526.1068829001429,0.5074001799007714,0.4871360026853175
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.3211877,974.2083454094809,526.1068829001429,0.5074001799007714,0.4871360026853175
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.3447187,974.2083454094809,526.1068829001429,0.5074001799007714,0.4871360026853175
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.4002485,1334.0178933099205,370.73879308493133,0.6948009860989169,0.3432766602638253
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.4258027,1334.0178933099205,370.73879308493133,0.6948009860989169,0.3432766602638253
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.4503186,1334.0178933099205,370.73879308493133,0.6948009860989169,0.3432766602638253
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.473872,1334.0178933099205,370.73879308493133,0.6948009860989169,0.3432766602638253
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.5286481,1783.6391917066553,118.05390045415879,0.9289787456805496,0.10930916708718406
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.5531735,1783.6391917066553,118.05390045415879,0.9289787456805496,0.10930916708718406
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.5781949,1783.6391917066553,118.05390045415879,0.9289787456805496,0.10930916708718406
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.6012275,1783.6391917066553,118.05390045415879,0.9289787456805496,0.10930916708718406
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.657955,1836.3848075020537,102.16569800525849,0.9564504205739863,0.09459786852338749
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.6834934,1836.3848075020537,102.16569800525849,0.9564504205739863,0.09459786852338749
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.7065077,1836.3848075020537,102.16569800525849,0.9564504205739863,0.09459786852338749
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.730532,1836.3848075020537,102.16569800525849,0.9564504205739863,0.09459786852338749
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.7850788,1839.9108545077602,94.45605627373607,0.9582869033894584,0.08745931136457043
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.8105965,1839.9108545077602,94.45605627373607,0.9582869033894584,0.08745931136457043
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.8331351,1839.9108545077602,94.45605627373607,0.9582869033894584,0.08745931136457043
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.9131942,1840.0156316467578,120.04277355804788,0.9583414748160197,0.11115071625745175
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.9387124,1840.0156316467578,120.04277355804788,0.9583414748160197,0.11115071625745175
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.9622512,1840.0156316467578,120.04277355804788,0.9583414748160197,0.11115071625745175
MSYETFB,1725011886,24grid_WhiteF1.png,1725011931.9862692,1840.0156316467578,120.04277355804788,0.9583414748160197,0.11115071625745175
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.0408132,1833.6384078188507,117.63342675760578,0.9550200040723181,0.10891983959037572
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.0658343,1833.6384078188507,117.63342675760578,0.9550200040723181,0.10891983959037572
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.0903518,1833.6384078188507,117.63342675760578,0.9550200040723181,0.10891983959037572
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.1143813,1833.6384078188507,117.63342675760578,0.9550200040723181,0.10891983959037572
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.168423,1829.881205143471,120.73361409122526,0.9530631276788912,0.11179038341780118
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.191944,1829.881205143471,120.73361409122526,0.9530631276788912,0.11179038341780118
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.2169623,1829.881205143471,120.73361409122526,0.9530631276788912,0.11179038341780118
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.2409928,1829.881205143471,120.73361409122526,0.9530631276788912,0.11179038341780118
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.2965336,1860.6201621727569,131.51919116432327,0.9690730011316442,0.12177702885585488
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.3230543,1860.6201621727569,131.51919116432327,0.9690730011316442,0.12177702885585488
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.3485758,1860.6201621727569,131.51919116432327,0.9690730011316442,0.12177702885585488
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.3730996,1860.6201621727569,131.51919116432327,0.9690730011316442,0.12177702885585488
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.4230492,1849.9677956582113,123.00058088654123,0.9635248935719851,0.11388942674679743
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.4485345,1849.9677956582113,123.00058088654123,0.9635248935719851,0.11388942674679743
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.4730597,1849.9677956582113,123.00058088654123,0.9635248935719851,0.11388942674679743
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.4980717,1849.9677956582113,123.00058088654123,0.9635248935719851,0.11388942674679743
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.5510817,1850.2018956863308,125.08634424559204,0.963646820669964,0.11582068911628893
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.576096,1850.2018956863308,125.08634424559204,0.963646820669964,0.11582068911628893
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.599177,1850.2018956863308,125.08634424559204,0.963646820669964,0.11582068911628893
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.6233554,1850.2018956863308,125.08634424559204,0.963646820669964,0.11582068911628893
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.6791282,1851.0112344482254,115.1201062177679,0.9640683512751174,0.10659269094237768
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.7043102,1851.0112344482254,115.1201062177679,0.9640683512751174,0.10659269094237768
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.7278266,1851.0112344482254,115.1201062177679,0.9640683512751174,0.10659269094237768
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.808463,1859.0688524617885,130.73103013187347,0.9682650273238482,0.12104725012210506
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.8345075,1859.0688524617885,130.73103013187347,0.9682650273238482,0.12104725012210506
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.8585236,1859.0688524617885,130.73103013187347,0.9682650273238482,0.12104725012210506
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.885046,1859.0688524617885,130.73103013187347,0.9682650273238482,0.12104725012210506
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.935087,1855.1603735472495,140.28210564186793,0.9662293612225258,0.12989083855728512
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.9626093,1855.1603735472495,140.28210564186793,0.9662293612225258,0.12989083855728512
MSYETFB,1725011886,24grid_WhiteF1.png,1725011932.988624,1855.1603735472495,140.28210564186793,0.9662293612225258,0.12989083855728512
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.012163,1855.1603735472495,140.28210564186793,0.9662293612225258,0.12989083855728512
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.0632055,1853.5974371239158,142.838966380069,0.9654153318353729,0.13225830220376758
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.0882196,1853.5974371239158,142.838966380069,0.9654153318353729,0.13225830220376758
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.1117387,1853.5974371239158,142.838966380069,0.9654153318353729,0.13225830220376758
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.135256,1853.5974371239158,142.838966380069,0.9654153318353729,0.13225830220376758
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.191299,1856.1654968905382,152.5474061746595,0.966752862963822,0.1412475983098699
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.216316,1856.1654968905382,152.5474061746595,0.966752862963822,0.1412475983098699
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.2403362,1856.1654968905382,152.5474061746595,0.966752862963822,0.1412475983098699
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.2643592,1856.1654968905382,152.5474061746595,0.966752862963822,0.1412475983098699
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.3203995,1866.0329748488748,150.18669635423976,0.9718921744004556,0.13906175588355532
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.3459232,1866.0329748488748,150.18669635423976,0.9718921744004556,0.13906175588355532
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.3689382,1866.0329748488748,150.18669635423976,0.9718921744004556,0.13906175588355532
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.392476,1866.0329748488748,150.18669635423976,0.9718921744004556,0.13906175588355532
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.4500198,1869.481902038045,158.65644899291692,0.9736884906448151,0.14690411943788603
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.476576,1869.481902038045,158.65644899291692,0.9736884906448151,0.14690411943788603
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.5000923,1869.481902038045,158.65644899291692,0.9736884906448151,0.14690411943788603
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.5764396,1868.9491762508,141.062347626681,0.9734110292972917,0.13061328483951945
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.6009922,1868.9491762508,141.062347626681,0.9734110292972917,0.13061328483951945
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.6240103,1868.9491762508,141.062347626681,0.9734110292972917,0.13061328483951945
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.648534,1868.9491762508,141.062347626681,0.9734110292972917,0.13061328483951945
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.705099,1870.5524717311678,137.878801158638,0.9742460790266498,0.1276655566283685
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.7301214,1870.5524717311678,137.878801158638,0.9742460790266498,0.1276655566283685
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.7531407,1870.5524717311678,137.878801158638,0.9742460790266498,0.1276655566283685
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.776158,1870.5524717311678,137.878801158638,0.9742460790266498,0.1276655566283685
MSYETFB,1725011886,24grid_WhiteF1.png,1725011933.832726,1868.580783748253,141.1798877434253,0.973219158202215,0.13072211828094935
