Exp,Part,Stim,time,x,y,x_pro,y_pro
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.648569,960.0,540.0,0.5,0.5
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.768195,1328.824944129332,926.5563606631422,0.6920963250673604,0.8579225561695761
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.7932127,1328.824944129332,926.5563606631422,0.6920963250673604,0.8579225561695761
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.8173654,1328.824944129332,926.5563606631422,0.6920963250673604,0.8579225561695761
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.8406756,1328.824944129332,926.5563606631422,0.6920963250673604,0.8579225561695761
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.8967261,2384.518283775552,1892.8156682531671,1.2419366061330999,1.752607100234414
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.921747,2384.518283775552,1892.8156682531671,1.2419366061330999,1.752607100234414
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.9467807,2384.518283775552,1892.8156682531671,1.2419366061330999,1.752607100234414
MSYETFB,1724753002,24grid_BlackB4.png,1724753107.9698038,2384.518283775552,1892.8156682531671,1.2419366061330999,1.752607100234414
MSYETFB,1724753002,24grid_BlackB4.png,1724753108.0238452,2143.3442234183167,1958.1930398456316,1.1163251163637067,1.81314170356077
MSYETFB,1724753002,24grid_BlackB4.png,1724753108.0473795,2143.3442234183167,1958.1930398456316,1.1163251163637067,1.81314170356077
MSYETFB,1724753002,24grid_BlackB4.png,1724753108.0703976,2143.3442234183167,1958.1930398456316,1.1163251163637067,1.81314170356077
MSYETFB,1724753002,24grid_BlackB4.png,1724753108.0939937,2143.3442234183167,1958.1930398456316,1.1163251163637067,1.81314170356077
MSYETFB,1724753002,24grid_BlackB4.png,1724753108.1518202,1883.9531022806777,1940.9797113489167,0.9812255741045196,1.797203436434182
