Exp,Part,Stim,time,x,y,x_pro,y_pro
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.4621603,958.6946431681226,536.6799870334689,0.49932012665006387,0.4969259139198786
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.4872167,958.6946431681226,536.6799870334689,0.49932012665006387,0.4969259139198786
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.5103004,958.6946431681226,536.6799870334689,0.49932012665006387,0.4969259139198786
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.5333157,958.6946431681226,536.6799870334689,0.49932012665006387,0.4969259139198786
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.5880637,1866.8299952343914,311.64886425117857,0.9723072891845789,0.2885637631955357
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.6130955,1866.8299952343914,311.64886425117857,0.9723072891845789,0.2885637631955357
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.7334914,3789.919884638658,-447.589732134702,1.9739166065826343,-0.4144349371617611
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.7585766,3789.919884638658,-447.589732134702,1.9739166065826343,-0.4144349371617611
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.7814946,3789.919884638658,-447.589732134702,1.9739166065826343,-0.4144349371617611
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.8620515,4135.555533210012,-401.1097022906315,2.1539351735468815,-0.37139787249132544
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.8870995,4135.555533210012,-401.1097022906315,2.1539351735468815,-0.37139787249132544
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.912129,4135.555533210012,-401.1097022906315,2.1539351735468815,-0.37139787249132544
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.9376535,4135.555533210012,-401.1097022906315,2.1539351735468815,-0.37139787249132544
MSYETFB,1724667764,24grid_BlackF3.png,1724667798.9893029,4488.955703526764,-316.6959226919489,2.337997762253523,-0.29323696545550826
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.0143538,4488.955703526764,-316.6959226919489,2.337997762253523,-0.29323696545550826
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.0398877,4488.955703526764,-316.6959226919489,2.337997762253523,-0.29323696545550826
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.0629072,4488.955703526764,-316.6959226919489,2.337997762253523,-0.29323696545550826
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.1179507,4412.073617913769,-282.16269387324974,2.2979550093300882,-0.26126175358634235
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.1424887,4412.073617913769,-282.16269387324974,2.2979550093300882,-0.26126175358634235
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.1680086,4412.073617913769,-282.16269387324974,2.2979550093300882,-0.26126175358634235
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.1910503,4412.073617913769,-282.16269387324974,2.2979550093300882,-0.26126175358634235
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.2461028,4231.477690715103,-191.37857407245156,2.2038946305807827,-0.1772023834004181
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.2716386,4231.477690715103,-191.37857407245156,2.2038946305807827,-0.1772023834004181
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.2956543,4231.477690715103,-191.37857407245156,2.2038946305807827,-0.1772023834004181
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.3201962,4231.477690715103,-191.37857407245156,2.2038946305807827,-0.1772023834004181
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.3742404,4215.451254281883,-194.48652463067265,2.195547528271814,-0.18008011539877097
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.4007657,4215.451254281883,-194.48652463067265,2.195547528271814,-0.18008011539877097
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.4257815,4215.451254281883,-194.48652463067265,2.195547528271814,-0.18008011539877097
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.4508264,4215.451254281883,-194.48652463067265,2.195547528271814,-0.18008011539877097
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.5015097,4215.979508603276,-236.51635719806245,2.1958226607308733,-0.218996627035243
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.5270393,4215.979508603276,-236.51635719806245,2.1958226607308733,-0.218996627035243
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.552566,4215.979508603276,-236.51635719806245,2.1958226607308733,-0.218996627035243
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.5770838,4215.979508603276,-236.51635719806245,2.1958226607308733,-0.218996627035243
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.6294134,4209.194442558377,-226.15414140314124,2.1922887721658215,-0.20940198278068634
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.655446,4209.194442558377,-226.15414140314124,2.1922887721658215,-0.20940198278068634
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.6809754,4209.194442558377,-226.15414140314124,2.1922887721658215,-0.20940198278068634
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.759241,4220.732673162664,-236.50940249802716,2.1982982672722207,-0.21899018749817328
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.7842724,4220.732673162664,-236.50940249802716,2.1982982672722207,-0.21899018749817328
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.8073125,4220.732673162664,-236.50940249802716,2.1982982672722207,-0.21899018749817328
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.8303277,4220.732673162664,-236.50940249802716,2.1982982672722207,-0.21899018749817328
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.8853974,4235.787294372712,-238.7370788711687,2.2061392158191206,-0.2210528508066377
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.9104435,4235.787294372712,-238.7370788711687,2.2061392158191206,-0.2210528508066377
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.9334574,4235.787294372712,-238.7370788711687,2.2061392158191206,-0.2210528508066377
MSYETFB,1724667764,24grid_BlackF3.png,1724667799.9574769,4235.787294372712,-238.7370788711687,2.2061392158191206,-0.2210528508066377
MSYETFB,1724667764,24grid_BlackF3.png,1724667800.0149276,4245.567828067557,-217.43149918984864,2.211233243785186,-0.20132546221282283
MSYETFB,1724667764,24grid_BlackF3.png,1724667800.0404558,4245.567828067557,-217.43149918984864,2.211233243785186,-0.20132546221282283
MSYETFB,1724667764,24grid_BlackF3.png,1724667800.0640051,4245.567828067557,-217.43149918984864,2.211233243785186,-0.20132546221282283
MSYETFB,1724667764,24grid_BlackF3.png,1724667800.08853,4245.567828067557,-217.43149918984864,2.211233243785186,-0.20132546221282283
MSYETFB,1724667764,24grid_BlackF3.png,1724667800.1405728,4210.176161530469,-227.74593961118399,2.1928000841304525,-0.21087587001035554
MSYETFB,1724667764,24grid_BlackF3.png,1724667800.1655905,4210.176161530469,-227.74593961118399,2.1928000841304525,-0.21087587001035554
MSYETFB,1724667764,24grid_BlackF3.png,1724667800.189132,4210.176161530469,-227.74593961118399,2.1928000841304525,-0.21087587001035554
